FLORACODE,KEY,SOURCE,SURVEYNAME,SIGHTINGDATE,DATEACCURACY,OBSERVER,NUMOBSERVED,MUSEUMHERBMNR,RELIABDESC,AMGZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPRELIABCODE,NSXCODE,SPECIES,FAMILYNAME,COMNAME1,SIGHTINGCOMM,HABITATCOMM,LOCATIONCOMM,RESERVENAME,ISINDIGENOUSFLAG
RVPU96109-167601,RVPU96109-167601,RV,,25/6/14,D,NEW B.D. Bill | EDWARDS J.S. Jeff,present but not counted,,501-1000m,53,760015,6193601,-34.36633707,137.8273781,P,Q01572,Acacia hakeoides,LEGUMINOSAE,Hakea Wattle,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus gracilis +/- E. brachycalyx . +/- E. phenax ssp. +/- E. socialis ssp. Mallee,Johnson RD 0.7 km WNW of Petersville,,Y
SUP503742-29,SUP503742-29,SU,GRASSLANDS - LWR NORTH,27/10/12,D,GRAHAM K.L. Kate | SHACKLEY A. Adrian | ROSSER L Leanne | MOISE D.M. Dragos,present but not counted,,5-50m,54,299307,6164407,-34.64262,138.81033,Y,Z01079,Petrorhagia dubia,CARYOPHYLLACEAE,Velvet Pink,Recorded as Petrorhagia velutina (NC).,,Site 300m above gully - north facing. Site is approximately 400m west of Allendale Road near Para Woodland gate and dam.,,N
SUP15726-17,SUP15726-17,SU,COASTAL DUNE & CLIFFTOP,15/9/97,D,KENNY S.D. Sue | OPPERMANN A.M. Alison,present but not counted,,51-100m,53,730334,6205259,-34.26833,137.5018,Y,A01508,Pittosporum angustifolium,PITTOSPORACEAE,Native Apricot,,,From car park MAI00101 drive back down road. Drive past gate south from road curve approx 150m walk in due west towards coast. Undulating crest open spaces with Melaleuca clumps.,,Y
RVPU70473-95907,RVPU70473-95907,RV,,2/10/03,D,MASON S.J. Sam | OBST C.S. Chris,present but not counted,,1-10km,54,475697,6140850,-34.87442653,140.7340751,P,Q03384,Callitris verrucosa,CUPRESSACEAE,Scrub Cypress Pine,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus incrassata var. incrassata/ E. leptophylla Mallee +/- E. phenax,Kringin RD 13.1 km NNW of Kringin,,Y
SUP17647-70410,SUP17647-70410,SU,SOUTHERN MT LOFTY,16/11/99,D,ARMSTRONG D.M. David | LANG P.J. Peter,present but not counted,,51-100m,54,255702,6066798,-35.51236,138.30623,Y,G01739,Platylobium obtusangulum,LEGUMINOSAE,Holly Flat-pea,,,Site is 100 m down from fenced track end on S side of track. Go into Eucalyptus fasciculosa / E. obliqua Woodland 30 m.,,Y
RVPO92942-419785,RVPO92942-419785,RV,,7/4/09,D,GRIFFIN C. Clare | EDWARDS J.S. Jeff,present but not counted,,501-1000m,53,750184,6203853,-34.27640803,137.7176084,P,E05978,Eucalyptus socialis ssp.,MYRTACEAE,Beaked Red Mallee,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus incrassata +/- E. brachycalyx +/- E. oleosa +/- E. phenax +/- E. socialis Mallee,Old Boundary RD 4 km WSW of Arthurton,,Y
RVPU39414-43544,RVPU39414-43544,RV,,22/11/00,D,TELFER W.R. Wendy,present but not counted,,501-1000m,54,260929,6306163,-33.35721069,138.4307277,P,A10596,Lomandra sp.,LILIACEAE,Mat-rush,Collected using the DEWNR Roadside Vegetation Survey Methodology,Exotic and native Grassland ( Stipa sp.  Danthonia sp.),Lehmans RD 3.5 km ENE of Georgetown,,Y
OPP567239-2,OPP567239-2,OP,LAKE EYRE BASIN SPRINGS ASSESSMENT,15/10/14,D,GOTCH T. Travis,present but not counted,,0-5m,53,552760,6871382,-28.28253,135.53801,Y,C32017,Tecticornia sp.,CHENOPODIACEAE,Samphire,,Low flat spring on samphire flat.,,,Y
OPP984625-133,OPP984625-133,OP,DEWNR FIRE MANAGEMENT RAMBLE OBS,30/3/20,D,PICKETT M.I. Marcus,Present but not counted,,251-500m,54,296150,6126000,-34.98808,138.76659,Y,E01702,Kennedia prostrata,LEGUMINOSAE,Scarlet Runner,,see other comments,Wottons - Jarrett Rd FIMS ID 723 (2.5 km N of Bridgewater),,Y
OPP798525-92,OPP798525-92,OP,BDBSA RESERVES DATABASE,1/5/91,D,HODDER M.W. Mike,present but not counted,,1-10km,54,429491,6046759,-35.72061,140.22042,Y,A20080,Eucalyptus leucoxylon ssp.,MYRTACEAE,South Australian Blue Gum,,,LEWIS : 4 LOT 51 IN D P 26026 OF SEC 5,744 (HA),Y
OPP718004-6,OPP718004-6,OP,RRP RIVER MURRAY WETLAND SURVEYS,8/2/13,D,RRP RIVER MURRAY WETLAND SURVEYS  N,present but not counted,,5-50m,54,368799,6152688,-34.75953,139.56644,Y,M03066,Eclipta platyglossa ssp. platyglossa,COMPOSITAE,Yellow Twin-heads,FUNCTIONAL_GROUP=Tda,,Lake Bywaters;AUSWET=S0001128;ELEVATION_CM=0;DIST_M_=3.3,,Y
OPP799539-26,OPP799539-26,OP,BDBSA RESERVES DATABASE,20/11/77,D,FNS-(SA)  Field Naturalist Society,present but not counted,,1-10km,54,482115,5901513,-37.03241,140.79891,Y,K03101,Chrysocephalum apiculatum (NC),COMPOSITAE,Common Everlasting,,,,Naracoorte Caves (NP),Y
OPP560050-15,OPP560050-15,OP,LOWAN MALLEE LAF FIELDWORK,29/10/14,D,CROFT S.J. Sonia,present but not counted,,251-500m,54,454401,6012767,-36.02855,140.49388,Y,Z01995,Comesperma calymega,POLYGALACEAE,Blue-spike Milkwort,,,|Source ProjectID:20|Source WaypointID:3652|,213 (HA),Y
OPP555976-61,OPP555976-61,OP,UPPER TORRENS LAND MANAGEMENT PROJECT,15/10/12,D,PICKETT M.I. Marcus,present but not counted,,101-250m,54,309400,6142000,-34.84648,138.91532,Y,U04582,Caesia calliantha,LILIACEAE,Blue Grass-lily,,,DCDB Parcel ID F35551 Q2 3.7 km SE of Gumeracha,,Y
SUP23318-179328,SUP23318-179328,SU,MID NORTH AND YORKE PENINSULA,15/10/04,D,CANTY P.D. Peter | TURNER J. Jean,present but not counted,,5-50m,53,729921,6164066,-34.63955,137.5084,Y,G04827,Dianella brevicaulis,LILIACEAE,Short-stem Flax-lily,,,Enter property through gate on northern boundary near edge of coastal Shrubland. Drive south along edge of cleared land for 400 metres. Site is 150 metres west in Acacia cupularis - Olearia axillaris Shrubland.,1354 (HA),Y
RVPO95099-429419,RVPO95099-429419,RV,,9/5/12,D,DICKSON C.R. Cath | CARR C. Chris,present but not counted,,251-500m,54,443886,5929136,-36.7819135,140.3711339,P,U30122,Asparagus asparagoides f. asparagoides,LILIACEAE,Bridal Creeper,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus diversifolia ssp. diversifolia Mallee,Woolumbool RD 4.3 km NNE of Woolumbool,,N
OPP632878-2,OPP632878-2,OP,LOFTY BLOCK EPBC THREATENED ORCHIDS,29/9/15,D,DAVIES R.J-P. Richard,1,,0-10m,54,303498,6155256,-34.7259,138.8539,Y,S00781,Caladenia rigida,ORCHIDACEAE,Stiff White Spider-orchid,Source ID: C. rigida Old Kersbrook Forest_GPS_RD. Original ID: 894,,Old Kersbrook Forest.,Kersbrook (NF),Y
OPP354007-1792427,OPP354007-1792427,OP,KI THREATENED PLANT PROJECT,8/11/05,D,TAYLOR D. David,present but not counted,,0-5m,53,689892,6046772,-35.70471,137.09898,Y,Y01772,Pultenaea villifera var. glabrescens,LEGUMINOSAE,Splendid Bush-pea,PLANTSNUM= 1; SUBPOP= B,,,670 (HA),Y
OPP11348-42,OPP11348-42,OP,OFFSHORE ISLANDS,1/7/68,T,NOT ENTERED - SEE ORIGINAL DATA  -,present but not counted,,101-250m,53,481129,6282171,-33.60004,134.7966,Y,M04790,Senecio pinnatifolius (NC),COMPOSITAE,Variable Groundsel,,,,Waldegrave Islands (CP),Y
SUP15816-24,SUP15816-24,SU,COASTAL DUNE & CLIFFTOP,24/9/97,D,FOTHERINGHAM D.G. Doug | SANDERCOCK R.K. Ron,present but not counted,,5-50m,53,529821,6161693,-34.68633,135.32556,Y,W03811,Apium annuum,UMBELLIFERAE,Annual Celery,,,Site on deflated clifftop dune 20m from cliff edge and 220m at 30 degrees to 3 way intersection.,Coffin Bay (NP),Y
SUP14276-4-AD98723118,SUP14276-4-AD98723118,SU,GAWLER,18/10/85,D,PREECE K.M. Kathy,present but not counted,AD98723118,0-5m,53,662379,6406250,-32.46911,136.72785,Y,S01213,Maireana triptera,CHENOPODIACEAE,Three-wing Bluebush,#Original cover recorded as 60% : ie The percentage of the Lifeform strata that this species represents within the quadrat.# Mostly dead / dying.,,49 km NW from Iron Knob.,,Y
RVPO64211-275380,RVPO64211-275380,RV,,25/11/02,D,PLAYFAIR R.M. Roger | BENNETT F.J. Fiona,present but not counted,,251-500m,53,733706,6340228,-33.0514166,137.5029115,P,Z01935,Euphorbia terracina,EUPHORBIACEAE,False Caper,Collected using the DEWNR Roadside Vegetation Survey Methodology,Acacia ligulata Open Shrubland,Lincoln HWY 2.6 km WNW of Mullaquana,,N
RVPE35134-1,RVPE35134-1,RV,,31/10/00,D,TELFER W.R. Wendy,present but not counted,,51-100m,54,266589,6345541,-33.00360196,138.5015942,P,C01605,Acacia pycnantha,LEGUMINOSAE,Golden Wattle,Collected using the DEWNR Roadside Vegetation Survey Methodology,Exotic and native Grassland ( Stipa sp.  Danthonia sp.),Caltowie-Tarcowie RD 5.9 km SSW of Tarcowie,,Y
RVPO3192-10030,RVPO3192-10030,RV,,19/12/97,D,PLAYFAIR R.M. Roger | ROTHE (EX LAVER) S.M. Samantha,present but not counted,,101-250m,54,321214,6149552,-34.78056224,139.0460686,P,M20078,Eucalyptus camaldulensis ssp.,MYRTACEAE,River Red Gum,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus camaldulensis woodland with grassy understorey,Ken Hicks RD 0.9 km SSW of Mount Pleasant,,Y
RVPO41402-180279,RVPO41402-180279,RV,,19/3/01,D,WEDDERBURN S.D. Scotte | O'CONNOR P.J. Patrick,present but not counted,,501-1000m,54,342114,6375562,-32.7464741,139.3147607,P,S20257,Myoporum platycarpum ssp.,MYOPORACEAE,False Sandalwood,Collected using the DEWNR Roadside Vegetation Survey Methodology,Myoporum platycarpum Low Open Woodland,Barrier HWY 2.4 km WSW of Paratoo,,Y
RVPO77858-347900,RVPO77858-347900,RV,,29/2/04,D,SUTHERLAND R.L. Robyn | TELFER S. Sarah,present but not counted,,101-250m,54,375879,6224694,-34.1112244,139.654233,P,K05661,Eucalyptus socialis (NC),MYRTACEAE,Beaked Red Mallee,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus socialis  +/ - E. gracilis +/- Myoporum platycarpum Mallee,Morgan - Blanchetown RD 1.7 km WNW of Wombats Rest,,Y
RVPU11061-5634,RVPU11061-5634,RV,,18/11/98,D,CLARK P.D. Peter | BEVAN K. Kirsty,present but not counted,,251-500m,53,569643,6284793,-33.57428336,135.7504071,P,C15065,Gramineae sp.,GRAMINEAE,Grass Family,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus calycogona / E. brachycalyx Mallee,Elliston - Lock RD 1 km SSW of Lock,,Y
OPP825902-1,OPP825902-1,OP,AMLR THREATENED FLORA ECOLOGIST-GENERAL,3/11/17,D,MCKERRAL H. Helen | DAVIS L. Leo | CHESSON C. Claire | CHESSON C. Clive,7,,0-5m,54,291983,6087797,-35.33144,138.71134,Y,A00784,Caleana major,ORCHIDACEAE,Large Duck-orchid,Status = 2F  5B; B  of P. minor at same site.,,Area 4: at site adjacent to Finnis River.,Cox Scrub (CP),Y
