"","dwc:catalogNumber","FLORACODE","dwc:samplingProtocol","SURVEYNAME","dwc:eventDate","DATEACCURACY","Date Accuracy Range","dwc:identifiedBy","dwc:individualCount","MUSEUMHERBMNR","RELIABDESC","AMGZONE","EASTING","NORTHING","dwc:decimalLatitude","dwc:decimalLongitude"," dwc:identificationVerificationStatus","dwc:scientificName","dwc:family","dwc:vernacularName","dwc:fieldNotes","dwc:Habitat","dwc:georeferenceRemarks","dwc:SamplingLocationRemarks","ISINDIGENOUSFLAG"
"1","RVPU96109-167601","RVPU96109-167601","RV","",2014-06-25,"D","Day","NEW B.D. Bill | EDWARDS J.S. Jeff","present but not counted","","501-1000m",53,760015,6193601,-34.36633707,137.8273781,"verification required","Acacia hakeoides","LEGUMINOSAE","Hakea Wattle","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus gracilis +/- E. brachycalyx . +/- E. phenax ssp. +/- E. socialis ssp. Mallee","Johnson RD 0.7 km WNW of Petersville","","Y"
"2","SUP503742-29","SUP503742-29","SU","GRASSLANDS - LWR NORTH",2012-10-27,"D","Day","GRAHAM K.L. Kate | SHACKLEY A. Adrian | ROSSER L Leanne | MOISE D.M. Dragos","present but not counted","","5-50m",54,299307,6164407,-34.64262,138.81033,"verified","Petrorhagia dubia","CARYOPHYLLACEAE","Velvet Pink","Recorded as Petrorhagia velutina (NC).","","Site 300m above gully - north facing. Site is approximately 400m west of Allendale Road near Para Woodland gate and dam.","","N"
"3","SUP15726-17","SUP15726-17","SU","COASTAL DUNE & CLIFFTOP",1997-09-15,"D","Day","KENNY S.D. Sue | OPPERMANN A.M. Alison","present but not counted","","51-100m",53,730334,6205259,-34.26833,137.5018,"verified","Pittosporum angustifolium","PITTOSPORACEAE","Native Apricot","","","From car park MAI00101 drive back down road. Drive past gate south from road curve approx 150m walk in due west towards coast. Undulating crest open spaces with Melaleuca clumps.","","Y"
"4","RVPU70473-95907","RVPU70473-95907","RV","",2003-10-02,"D","Day","MASON S.J. Sam | OBST C.S. Chris","present but not counted","","1-10km",54,475697,6140850,-34.87442653,140.7340751,"verification required","Callitris verrucosa","CUPRESSACEAE","Scrub Cypress Pine","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus incrassata var. incrassata/ E. leptophylla Mallee +/- E. phenax","Kringin RD 13.1 km NNW of Kringin","","Y"
"5","SUP17647-70410","SUP17647-70410","SU","SOUTHERN MT LOFTY",1999-11-16,"D","Day","ARMSTRONG D.M. David | LANG P.J. Peter","present but not counted","","51-100m",54,255702,6066798,-35.51236,138.30623,"verified","Platylobium obtusangulum","LEGUMINOSAE","Holly Flat-pea","","","Site is 100 m down from fenced track end on S side of track. Go into Eucalyptus fasciculosa / E. obliqua Woodland 30 m.","","Y"
"6","RVPO92942-419785","RVPO92942-419785","RV","",2009-04-07,"D","Day","GRIFFIN C. Clare | EDWARDS J.S. Jeff","present but not counted","","501-1000m",53,750184,6203853,-34.27640803,137.7176084,"verification required","Eucalyptus socialis ssp.","MYRTACEAE","Beaked Red Mallee","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus incrassata +/- E. brachycalyx +/- E. oleosa +/- E. phenax +/- E. socialis Mallee","Old Boundary RD 4 km WSW of Arthurton","","Y"
"7","RVPU39414-43544","RVPU39414-43544","RV","",2000-11-22,"D","Day","TELFER W.R. Wendy","present but not counted","","501-1000m",54,260929,6306163,-33.35721069,138.4307277,"verification required","Lomandra sp.","LILIACEAE","Mat-rush","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic and native Grassland ( Stipa sp.  Danthonia sp.)","Lehmans RD 3.5 km ENE of Georgetown","","Y"
"8","OPP567239-2","OPP567239-2","OP","LAKE EYRE BASIN SPRINGS ASSESSMENT",2014-10-15,"D","Day","GOTCH T. Travis","present but not counted","","0-5m",53,552760,6871382,-28.28253,135.53801,"verified","Tecticornia sp.","CHENOPODIACEAE","Samphire","","Low flat spring on samphire flat.","","","Y"
"9","OPP984625-133","OPP984625-133","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS",2020-03-30,"D","Day","PICKETT M.I. Marcus","Present but not counted","","251-500m",54,296150,6126000,-34.98808,138.76659,"verified","Kennedia prostrata","LEGUMINOSAE","Scarlet Runner","","see other comments","Wottons - Jarrett Rd FIMS ID 723 (2.5 km N of Bridgewater)","","Y"
"10","OPP798525-92","OPP798525-92","OP","BDBSA RESERVES DATABASE",1991-05-01,"D","Day","HODDER M.W. Mike","present but not counted","","1-10km",54,429491,6046759,-35.72061,140.22042,"verified","Eucalyptus leucoxylon ssp.","MYRTACEAE","South Australian Blue Gum","","","LEWIS : 4 LOT 51 IN D P 26026 OF SEC 5","744 (HA)","Y"
